"","sire","dam","id","loci","n.loci","LLRdam","LLRsire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs"
"172","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-B12-pH7.bam","CM084276_1_20157067.1, CM084267_1_2426156.0, CM084265_1_68074364.0, CM084265_1_72368245.1, CM084264_1_34294476.1, CM084266_1_46766309.0, CM084271_1_1052235.0, CM084265_1_58036330.0, CM084277_1_6198970.0, CM084264_1_34301201.1, CM084278_1_20695466.1, CM084270_1_47076316.1, CM084277_1_30168106.1, CM084272_1_18192676.0, CM084269_1_40451682.0, CM084265_1_73060812.0, CM084279_1_10147315.0, CM084274_1_4773492.0, CM084279_1_1070313.1, CM084272_1_33571767.0, CM084270_1_47077465.1, CM084269_1_15818485.0, CM084265_1_71265272.1, CM084275_1_2509962.1, CM084265_1_64736906.1, CM084266_1_69314162.0, CM084265_1_791018.0, CM084270_1_47076316.0, CM084268_1_9292474.0, CM084279_1_33014997.1, CM084266_1_70181820.0, CM084273_1_31865230.0, CM084277_1_29782026.1, CM084264_1_70181718.1, CM084278_1_29698402.0","35","-0.06","-0.1","0.16","2, 4","2","TRUE"
"173","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J166-pH7.bam","CM084279_1_31409052.0, CM084276_1_38285696.0, CM084276_1_2857930.0, CM084267_1_2908060.1, CM084271_1_256574.1, CM084270_1_13944196.0, CM084269_1_43524676.1, CM084269_1_1567498.0, CM084267_1_5882424.0, CM084274_1_4864753.0, CM084266_1_62460058.1, CM084267_1_6421475.0, CM084264_1_34294487.0, CM084273_1_7839417.0, CM084268_1_50219223.1, CM084269_1_15827788.1, CM084270_1_4920968.0, CM084273_1_7826703.0, CM084277_1_30626985.0, CM084278_1_29698392.0, CM084269_1_43528550.0, CM084274_1_4792130.1, CM084265_1_72368293.1, CM084266_1_63167173.0, CM084265_1_73060807.0, CM084265_1_3130640.0, CM084276_1_38539465.1, CM084270_1_9408158.0, CM084277_1_10628755.0, CM084275_1_312853.0, CM084275_1_25393263.1, CM084265_1_71926735.0, CM084271_1_11500058.1, CM084275_1_319193.0, CM084271_1_1052214.0","35","-0.37","-0.7","1.07","2","2","TRUE"
"174","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-B18-pH7.bam","CM084275_1_25388529.0, CM084272_1_18170845.1, CM084269_1_12905590.1, CM084271_1_3821125.1, CM084278_1_22644747.0, CM084265_1_58036330.0, CM084275_1_36059252.0, CM084268_1_24030545.1, CM084272_1_11675265.0, CM084265_1_72071409.0, CM084275_1_39394528.1, CM084279_1_161440.0, CM084267_1_13229666.0, CM084264_1_68688988.0, CM084272_1_33503437.1, CM084264_1_8098050.0, CM084264_1_66077502.0, CM084265_1_71853183.0, CM084279_1_1062135.0, CM084266_1_23295992.0, CM084266_1_68960407.0, CM084276_1_1625258.1, CM084268_1_1326648.0, CM084266_1_71224927.0, CM084268_1_50681546.0, CM084267_1_13261420.0, CM084270_1_10495951.0, CM084265_1_72076134.1, CM084267_1_51366722.1, CM084271_1_19655912.1, CM084264_1_74266331.0, CM084279_1_1072342.1, CM084274_1_4795903.0, CM084268_1_49721922.1, CM084264_1_34300890.0","35","-0.26","-0.24","0.5","3","1, 4","FALSE"
"175","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-J162-pH7.bam","CM084272_1_18188700.0, CM084267_1_2908060.0, CM084271_1_44104716.0, CM084267_1_699449.1, CM084276_1_25813397.0, CM084278_1_20695466.1, CM084271_1_3819764.1, CM084267_1_2910789.0, CM084264_1_70190068.0, CM084274_1_42473136.0, CM084265_1_1062091.0, CM084264_1_69271984.0, CM084278_1_23541019.1, CM084267_1_3748455.0, CM084264_1_6956767.1, CM084276_1_38772810.0, CM084277_1_10628711.0, CM084267_1_2653032.1, CM084274_1_4818355.0, CM084264_1_69303583.0, CM084266_1_46766309.1, CM084266_1_57882616.0, CM084276_1_25807604.0, CM084269_1_46688909.0, CM084268_1_50200545.0, CM084270_1_8242350.0, CM084274_1_4694522.0, CM084264_1_8098032.0, CM084274_1_4795858.1, CM084274_1_4863965.1, CM084276_1_1856902.0, CM084277_1_5803906.0, CM084276_1_1856094.0, CM084264_1_66077502.0, CM084266_1_71166448.0","35","-0.34","-0.32","0.66","1, 4","1, 4","TRUE"
"176","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-B2-pH7.bam","CM084264_1_2738036.1, CM084273_1_31864421.1, CM084264_1_70471578.1, CM084274_1_4709093.0, CM084268_1_282153.1, CM084276_1_37987483.1, CM084265_1_72368147.1, CM084279_1_992716.1, CM084266_1_70181836.0, CM084276_1_38787723.1, CM084274_1_4709093.1, CM084269_1_39737147.0, CM084273_1_32683016.1, CM084268_1_42008.1, CM084279_1_32666410.1, CM084271_1_44086139.1, CM084274_1_4686932.0, CM084278_1_20735956.1, CM084269_1_15823423.0, CM084265_1_64735335.1, CM084266_1_69085566.1, CM084264_1_71816897.0, CM084272_1_43331300.1, CM084269_1_15823421.0, CM084264_1_72075482.1, CM084268_1_49721854.1, CM084267_1_5161043.1, CM084265_1_785374.0, CM084264_1_64489814.1, CM084268_1_28855794.1, CM084279_1_31073068.1, CM084272_1_1891499.1, CM084274_1_4793177.1, CM084269_1_1567834.1, CM084278_1_20861266.1","35","-0.41","-0.54","0.95","3","1, 4","FALSE"
"177","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J162-pH7.bam","CM084267_1_700114.0, CM084271_1_3819548.1, CM084264_1_73152605.1, CM084271_1_10301938.0, CM084264_1_66439628.1, CM084277_1_10417489.0, CM084271_1_26325707.1, CM084269_1_46733053.0, CM084266_1_23295280.1, CM084274_1_4796079.1, CM084264_1_75480216.1, CM084273_1_31865846.1, CM084276_1_25813402.1, CM084264_1_73152528.1, CM084267_1_2653035.1, CM084278_1_22667331.0, CM084265_1_65232929.0, CM084274_1_4694522.1, CM084266_1_70400231.0, CM084278_1_20623588.0, CM084266_1_68884692.1, CM084275_1_35722058.1, CM084272_1_33623932.0, CM084265_1_8361584.0, CM084272_1_36474160.1, CM084266_1_71149023.1, CM084272_1_2073141.0, CM084274_1_4694558.1, CM084271_1_10301897.0, CM084270_1_4921089.0, CM084274_1_4862784.1, CM084264_1_26777912.0, CM084278_1_8558512.1, CM084279_1_1062150.1, CM084275_1_35719374.1","35","-0.22","-0.43","0.65","2, 4","1, 4","TRUE"
"178","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-J165-pH7.bam","CM084276_1_38287449.1, CM084268_1_42745.1, CM084276_1_2855915.0, CM084269_1_1558064.1, CM084272_1_18188802.0, CM084265_1_68806450.0, CM084272_1_11675265.1, CM084268_1_3704020.1, CM084275_1_39776646.1, CM084275_1_312849.1, CM084273_1_32698886.1, CM084271_1_1034868.1, CM084271_1_7136506.1, CM084275_1_29098655.1, CM084276_1_62244.0, CM084267_1_30269806.0, CM084275_1_39776469.1, CM084265_1_54591384.1, CM084269_1_1556253.0, CM084268_1_1326519.1, CM084265_1_72071376.0, CM084273_1_11263082.0, CM084278_1_20695466.1, CM084270_1_46587624.1, CM084276_1_25809541.0, CM084273_1_42285577.0, CM084266_1_66383611.0, CM084266_1_69625511.1, CM084278_1_25830477.0, CM084264_1_71189810.1, CM084266_1_68515581.1, CM084268_1_28851946.0, CM084269_1_15823421.1, CM084264_1_74721329.1, CM084275_1_267983.0","35","-0.22","-0.48","0.7","1","1, 4","TRUE"
"179","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J223-pH7.bam","CM084271_1_256574.0, CM084266_1_57884809.0, CM084277_1_30168398.1, CM084274_1_4793445.0, CM084267_1_13261525.0, CM084265_1_73060895.1, CM084269_1_42862704.1, CM084268_1_3699581.1, CM084266_1_71166435.1, CM084267_1_6421227.1, CM084264_1_73886234.0, CM084268_1_49719731.1, CM084268_1_50681546.1, CM084274_1_5566177.1, CM084267_1_8118616.0, CM084264_1_72054043.1, CM084279_1_32915259.0, CM084269_1_15817354.1, CM084269_1_12904900.0, CM084272_1_18193899.1, CM084277_1_5804570.1, CM084278_1_22660266.0, CM084270_1_42355544.0, CM084271_1_218855.0, CM084276_1_12383618.0, CM084275_1_66811.1, CM084266_1_70706207.1, CM084273_1_31863596.0, CM084265_1_72178237.0, CM084276_1_38773525.0, CM084271_1_10301903.0, CM084274_1_4795858.1, CM084266_1_66377784.0, CM084275_1_312842.1, CM084276_1_38285682.1","35","-0.14","-0.52","0.66","2","1, 4","FALSE"
"180","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J203-pH7.bam","CM084277_1_30168380.1, CM084264_1_70471433.1, CM084275_1_35722060.1, CM084271_1_3819398.0, CM084277_1_29208392.0, CM084269_1_1549405.1, CM084272_1_43469487.1, CM084269_1_15827787.0, CM084279_1_160989.0, CM084269_1_43528677.1, CM084275_1_327935.1, CM084274_1_4694558.1, CM084266_1_57885009.0, CM084264_1_34300042.0, CM084279_1_10156950.1, CM084266_1_50301559.0, CM084265_1_68806414.1, CM084265_1_69007607.0, CM084265_1_70589360.0, CM084267_1_51167077.1, CM084266_1_71160177.0, CM084265_1_1118730.0, CM084271_1_19655939.0, CM084273_1_32683001.1, CM084265_1_64527991.0, CM084269_1_46688892.0, CM084274_1_4694239.0, CM084278_1_20635947.1, CM084266_1_58087893.1, CM084264_1_72072573.0, CM084267_1_2908060.1, CM084276_1_1625215.1, CM084276_1_1856653.1, CM084276_1_4238165.1, CM084264_1_70175551.1","35","-0.25","-0.31","0.56","2, 4","1, 4","TRUE"
"181","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J185-pH7.bam","CM084279_1_1079183.0, CM084265_1_71925176.1, CM084273_1_31864741.1, CM084264_1_75338719.1, CM084272_1_43331300.1, CM084276_1_38072639.1, CM084272_1_36474242.0, CM084268_1_49719639.1, CM084272_1_18189795.0, CM084277_1_30168398.1, CM084265_1_72178250.0, CM084268_1_18512752.1, CM084269_1_1572335.0, CM084271_1_44086160.1, CM084265_1_64196888.0, CM084272_1_25266666.0, CM084278_1_14913766.0, CM084276_1_1500490.0, CM084268_1_42745.1, CM084266_1_57886490.0, CM084268_1_2696122.1, CM084265_1_70977429.0, CM084268_1_28855779.1, CM084274_1_4694190.1, CM084278_1_22667323.1, CM084266_1_66377769.1, CM084270_1_42355495.1, CM084271_1_30532401.0, CM084267_1_48167433.1, CM084277_1_1858867.0, CM084268_1_28845446.0, CM084265_1_71826461.1, CM084278_1_20701460.0, CM084279_1_32673936.1, CM084268_1_49082756.1","35","-0.41","-0.21","0.62","2, 4","1, 4","TRUE"
"182","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-J184-pH7.bam","CM084274_1_4730026.1, CM084267_1_2163730.0, CM084274_1_4798805.1, CM084273_1_7839386.0, CM084276_1_7202997.0, CM084271_1_344606.0, CM084274_1_4863726.0, CM084266_1_50301553.1, CM084269_1_43525271.0, CM084276_1_37987466.0, CM084279_1_161176.1, CM084266_1_23321836.1, CM084267_1_6421555.0, CM084270_1_32126724.0, CM084267_1_48167433.0, CM084272_1_18194019.1, CM084265_1_68869214.0, CM084266_1_67098131.0, CM084265_1_1229890.0, CM084265_1_64735421.1, CM084270_1_10496921.1, CM084271_1_19655878.1, CM084276_1_38558590.0, CM084274_1_4778592.1, CM084272_1_11675265.1, CM084274_1_4695106.1, CM084269_1_41809356.0, CM084278_1_20735956.1, CM084274_1_4863903.1, CM084264_1_6990362.0, CM084267_1_30270802.0, CM084274_1_4792974.0, CM084265_1_46089462.0, CM084272_1_2928852.1, CM084266_1_69806378.0","35","0.12","-0.13","0.25","3","1, 4","FALSE"
"183","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-J184-pH7.bam","CM084274_1_41835817.1, CM084269_1_12905592.0, CM084265_1_959807.0, CM084264_1_74273479.1, CM084278_1_279479.1, CM084266_1_71166433.0, CM084264_1_74721329.1, CM084272_1_18188620.1, CM084275_1_400292.0, CM084266_1_69095441.0, CM084274_1_4812546.0, CM084269_1_4636404.0, CM084264_1_69757037.1, CM084271_1_19656061.1, CM084279_1_161458.0, CM084277_1_30629891.0, CM084276_1_25809361.1, CM084264_1_73927181.0, CM084272_1_18194192.1, CM084265_1_54591404.0, CM084274_1_3692513.1, CM084274_1_4769088.1, CM084278_1_22656620.1, CM084275_1_39491725.0, CM084277_1_18541349.0, CM084276_1_31737936.0, CM084269_1_35642171.0, CM084269_1_15812965.1, CM084277_1_36519491.0, CM084270_1_46587624.1, CM084268_1_23612506.0, CM084277_1_30631457.1, CM084272_1_18189795.0, CM084271_1_19655820.0, CM084277_1_29781979.1","35","-0.01","0.01","0.02","3","1, 4","FALSE"
"184","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-J186-pH7.bam","CM084265_1_69924624.1, CM084277_1_31027250.0, CM084264_1_6990394.1, CM084267_1_2646656.1, CM084276_1_38773525.1, CM084268_1_50323442.0, CM084264_1_26773648.1, CM084266_1_50301559.1, CM084266_1_67239897.0, CM084264_1_74721244.0, CM084275_1_42592938.0, CM084265_1_72637027.1, CM084265_1_72368245.1, CM084273_1_31864741.0, CM084271_1_37237149.1, CM084278_1_20861266.1, CM084265_1_60215543.0, CM084267_1_2135741.0, CM084268_1_50679570.0, CM084278_1_22656620.1, CM084269_1_46858338.0, CM084271_1_44190489.1, CM084269_1_15812965.1, CM084274_1_21933150.1, CM084265_1_64196855.0, CM084268_1_28845782.0, CM084264_1_72075479.1, CM084275_1_29098881.0, CM084268_1_50693767.0, CM084266_1_57888563.0, CM084264_1_70355057.1, CM084268_1_42863.1, CM084276_1_37352422.1, CM084276_1_38552515.1, CM084267_1_48167440.0","35","-0.33","-0.41","0.74","1","1, 4","TRUE"
"185","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B2-pH7.bam","CM084276_1_38287449.1, CM084268_1_42745.1, CM084276_1_2855915.0, CM084269_1_1558064.1, CM084272_1_18188802.0, CM084265_1_68806450.0, CM084272_1_11675265.1, CM084268_1_3704020.1, CM084275_1_39776646.1, CM084275_1_312849.1, CM084273_1_32698886.1, CM084271_1_1034868.1, CM084271_1_7136506.1, CM084275_1_29098655.1, CM084276_1_62244.0, CM084267_1_30269806.0, CM084275_1_39776469.1, CM084265_1_54591384.1, CM084269_1_1556253.0, CM084268_1_1326519.1, CM084265_1_72071376.0, CM084273_1_11263082.0, CM084278_1_20695466.1, CM084270_1_46587624.1, CM084276_1_25809541.0, CM084273_1_42285577.0, CM084266_1_66383611.0, CM084266_1_69625511.1, CM084278_1_25830477.0, CM084264_1_71189810.1, CM084266_1_68515581.1, CM084268_1_28851946.0, CM084269_1_15823421.1, CM084264_1_74721329.1, CM084275_1_267983.0","35","-0.45","-0.35","0.8","1","1, 4","TRUE"
"186","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084264_1_73927181.1, CM084268_1_49719731.0, CM084264_1_70182851.0, CM084268_1_28845439.0, CM084267_1_51248425.0, CM084265_1_71826461.1, CM084266_1_68907025.0, CM084274_1_34977123.0, CM084273_1_31862854.1, CM084277_1_18535877.0, CM084267_1_2104179.1, CM084267_1_6421555.1, CM084266_1_63195133.0, CM084278_1_23542073.0, CM084278_1_22645215.0, CM084268_1_50200472.0, CM084278_1_15228737.0, CM084274_1_4789702.1, CM084266_1_50301524.0, CM084269_1_35627080.0, CM084264_1_70466179.1, CM084274_1_4066885.0, CM084277_1_29780153.0, CM084271_1_1054026.0, CM084269_1_46692137.0, CM084277_1_5803945.0, CM084276_1_38558690.0, CM084275_1_25393416.1, CM084269_1_12905592.0, CM084265_1_66143640.0, CM084264_1_70185106.1, CM084266_1_68322194.1, CM084264_1_8112731.1, CM084265_1_1816569.1, CM084273_1_31862476.1","35","0.06","0.06","0.12","1, 4","1, 4","TRUE"
"187","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J221-pH7.bam","CM084264_1_2738036.1, CM084273_1_31864421.1, CM084264_1_70471578.1, CM084274_1_4709093.0, CM084268_1_282153.1, CM084276_1_37987483.1, CM084265_1_72368147.1, CM084279_1_992716.1, CM084266_1_70181836.0, CM084276_1_38787723.1, CM084274_1_4709093.1, CM084269_1_39737147.0, CM084273_1_32683016.1, CM084268_1_42008.1, CM084279_1_32666410.1, CM084271_1_44086139.1, CM084274_1_4686932.0, CM084278_1_20735956.1, CM084269_1_15823423.0, CM084265_1_64735335.1, CM084266_1_69085566.1, CM084264_1_71816897.0, CM084272_1_43331300.1, CM084269_1_15823421.0, CM084264_1_72075482.1, CM084268_1_49721854.1, CM084267_1_5161043.1, CM084265_1_785374.0, CM084264_1_64489814.1, CM084268_1_28855794.1, CM084279_1_31073068.1, CM084272_1_1891499.1, CM084274_1_4793177.1, CM084269_1_1567834.1, CM084278_1_20861266.1","35","-0.22","-0.54","0.76","2, 4","1, 4","TRUE"
"188","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-J204-pH7.bam","CM084265_1_54591404.0, CM084264_1_73308596.0, CM084271_1_43849883.1, CM084267_1_6420945.0, CM084268_1_50225492.0, CM084279_1_1070322.0, CM084269_1_4636406.1, CM084277_1_1868694.0, CM084267_1_51248500.1, CM084265_1_64196855.0, CM084266_1_70181836.0, CM084277_1_30611507.0, CM084267_1_2653032.1, CM084275_1_25393422.1, CM084266_1_69052083.0, CM084267_1_4505277.1, CM084270_1_46587591.0, CM084264_1_72117194.0, CM084265_1_71265340.1, CM084276_1_1500490.1, CM084267_1_5881718.1, CM084267_1_5161043.0, CM084269_1_39736991.0, CM084272_1_1308664.1, CM084279_1_32917233.0, CM084268_1_49533758.0, CM084266_1_38532344.1, CM084278_1_5144630.1, CM084276_1_38072623.0, CM084270_1_35204451.1, CM084274_1_5046195.0, CM084278_1_30230906.1, CM084274_1_4798805.0, CM084269_1_15799430.1, CM084276_1_38773493.0","35","-0.4","-0.4","0.8","1","1, 4","TRUE"
"189","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-J164-pH7.bam","CM084265_1_54591404.0, CM084264_1_73308596.0, CM084271_1_43849883.1, CM084267_1_6420945.0, CM084268_1_50225492.0, CM084279_1_1070322.0, CM084269_1_4636406.1, CM084277_1_1868694.0, CM084267_1_51248500.1, CM084265_1_64196855.0, CM084266_1_70181836.0, CM084277_1_30611507.0, CM084267_1_2653032.1, CM084275_1_25393422.1, CM084266_1_69052083.0, CM084267_1_4505277.1, CM084270_1_46587591.0, CM084264_1_72117194.0, CM084265_1_71265340.1, CM084276_1_1500490.1, CM084267_1_5881718.1, CM084267_1_5161043.0, CM084269_1_39736991.0, CM084272_1_1308664.1, CM084279_1_32917233.0, CM084268_1_49533758.0, CM084266_1_38532344.1, CM084278_1_5144630.1, CM084276_1_38072623.0, CM084270_1_35204451.1, CM084274_1_5046195.0, CM084278_1_30230906.1, CM084274_1_4798805.0, CM084269_1_15799430.1, CM084276_1_38773493.0","35","-0.3","-0.27","0.57","1","1, 4","TRUE"
"190","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084266_1_69806294.0, CM084264_1_68688356.0, CM084269_1_45420483.1, CM084271_1_3819803.1, CM084267_1_11257244.0, CM084271_1_11500090.1, CM084274_1_42473136.0, CM084268_1_22040364.0, CM084274_1_42294261.0, CM084266_1_1233079.1, CM084264_1_2740171.0, CM084266_1_69051080.0, CM084269_1_15827787.0, CM084275_1_327388.0, CM084266_1_58087797.0, CM084265_1_790962.0, CM084270_1_11478201.1, CM084268_1_2832742.0, CM084273_1_31862762.0, CM084264_1_70174668.0, CM084273_1_31864741.0, CM084265_1_64196855.0, CM084275_1_25388546.1, CM084269_1_1572335.1, CM084274_1_4868385.1, CM084266_1_69063996.1, CM084265_1_71899680.0, CM084272_1_33462360.1, CM084265_1_59221308.0, CM084264_1_69861955.1, CM084274_1_4863902.1, CM084272_1_9070882.0, CM084264_1_26777912.0, CM084276_1_37352420.1, CM084274_1_4795062.1","35","-0.31","-0.32","0.63","3","1, 4","FALSE"
"191","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B18-pH7.bam","CM084270_1_10495406.0, CM084268_1_28845336.0, CM084272_1_33452338.0, CM084278_1_23539431.0, CM084276_1_12385340.1, CM084269_1_15799390.0, CM084272_1_33607296.0, CM084274_1_4785935.1, CM084275_1_39774878.1, CM084271_1_39685141.1, CM084267_1_52591576.1, CM084275_1_39502454.0, CM084269_1_1567848.0, CM084273_1_31865957.0, CM084267_1_9176202.0, CM084279_1_10151202.0, CM084276_1_38558670.1, CM084275_1_4345708.0, CM084273_1_11263082.0, CM084275_1_524614.1, CM084270_1_9413290.0, CM084271_1_44070313.0, CM084264_1_69870962.1, CM084269_1_12905587.0, CM084272_1_36474234.0, CM084264_1_70190068.1, CM084265_1_3130640.1, CM084272_1_18188792.1, CM084266_1_69794604.1, CM084264_1_69287336.0, CM084273_1_42253159.0, CM084274_1_4695204.1, CM084271_1_44069731.0, CM084271_1_43816629.0, CM084278_1_20732798.0","35","-0.27","-0.29","0.56","1","1, 4","TRUE"
"192","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B8-pH7.bam","CM084278_1_23547493.0, CM084267_1_2081902.0, CM084279_1_1060874.1, CM084279_1_1062144.1, CM084278_1_23541042.1, CM084273_1_32698879.1, CM084269_1_39737147.0, CM084270_1_42345710.1, CM084264_1_75480216.0, CM084264_1_34294469.1, CM084278_1_20742383.1, CM084266_1_58102684.0, CM084274_1_4868385.0, CM084274_1_5120580.0, CM084266_1_68322173.0, CM084266_1_69063995.0, CM084267_1_9176202.0, CM084264_1_73931171.1, CM084275_1_1304748.0, CM084278_1_279490.0, CM084264_1_70182852.0, CM084268_1_50224886.0, CM084267_1_9176202.1, CM084264_1_73927104.0, CM084270_1_47077463.0, CM084272_1_1596710.0, CM084264_1_61167194.1, CM084274_1_4730203.1, CM084274_1_4793445.1, CM084274_1_4778496.1, CM084266_1_66377769.0, CM084277_1_5804551.1, CM084264_1_73308596.0, CM084270_1_9401006.1, CM084270_1_19464668.0","35","-0.29","-0.08","0.37","1","1, 4","TRUE"
"193","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-B1-pH7.bam","CM084278_1_23547493.0, CM084267_1_2081902.0, CM084279_1_1060874.1, CM084279_1_1062144.1, CM084278_1_23541042.1, CM084273_1_32698879.1, CM084269_1_39737147.0, CM084270_1_42345710.1, CM084264_1_75480216.0, CM084264_1_34294469.1, CM084278_1_20742383.1, CM084266_1_58102684.0, CM084274_1_4868385.0, CM084274_1_5120580.0, CM084266_1_68322173.0, CM084266_1_69063995.0, CM084267_1_9176202.0, CM084264_1_73931171.1, CM084275_1_1304748.0, CM084278_1_279490.0, CM084264_1_70182852.0, CM084268_1_50224886.0, CM084267_1_9176202.1, CM084264_1_73927104.0, CM084270_1_47077463.0, CM084272_1_1596710.0, CM084264_1_61167194.1, CM084274_1_4730203.1, CM084274_1_4793445.1, CM084274_1_4778496.1, CM084266_1_66377769.0, CM084277_1_5804551.1, CM084264_1_73308596.0, CM084270_1_9401006.1, CM084270_1_19464668.0","35","-0.37","-0.2","0.57","2","1, 4","FALSE"
"194","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B16-pH7.bam","CM084274_1_5566177.1, CM084270_1_46588177.0, CM084264_1_34294487.0, CM084271_1_39686056.1, CM084279_1_649298.0, CM084276_1_1847305.0, CM084271_1_44104315.1, CM084265_1_1229890.0, CM084275_1_40706385.1, CM084268_1_50202339.0, CM084267_1_2910813.1, CM084267_1_13261525.1, CM084274_1_4709671.0, CM084266_1_68882944.0, CM084266_1_68515581.0, CM084269_1_45310979.1, CM084269_1_1577748.0, CM084269_1_40338566.1, CM084266_1_66483880.0, CM084270_1_4751873.0, CM084277_1_30611561.0, CM084279_1_31409052.0, CM084264_1_64489814.0, CM084266_1_57888563.0, CM084265_1_68806466.0, CM084264_1_69271980.1, CM084275_1_327443.1, CM084267_1_2908860.1, CM084269_1_46692120.0, CM084274_1_4694230.1, CM084274_1_4788623.0, CM084276_1_4238176.0, CM084275_1_36059374.1, CM084269_1_1556935.1, CM084278_1_23541049.0","35","-0.42","-0.11","0.53","1","1, 4","TRUE"
